c_{A0}                        ;Q_{1}                         ;T_{1}                         ;L                             ;c_{A}                         ;c_{B}                         ;T_{2}                         ;Q_{5}                         ;Q_{4}                         ;T_{3}                         ;\mathrm{PCW}                  ;\mathrm{CNT}_{1}              ;\mathrm{CNT}_{3}=SP_{Q_{5}}   ;\mathrm{CNT}_{2}              ;\mathrm{INV\ CON}             ;\mathrm{CW\ DP\ CON}          ;\mathrm{EFFL\ DP\ CON}        ;\mathrm{MOLBAL\ CON}          ;     CLASS
    0.20063E+02;    0.24905E+00;    0.30092E+02;    0.19738E+01;    0.28446E+01;    0.17071E+02;    0.79925E+02;    0.92754E+00;    0.25148E+00;    0.20112E+02;    0.55617E+05;    0.25288E+02;    0.40705E+02;    0.89985E+00;   -0.39182E-01;    0.32871E-01;    0.12345E-02;   -0.96796E+00; normal    
    0.20254E+02;    0.25066E+00;    0.29870E+02;    0.20047E+01;    0.28151E+01;    0.17019E+02;    0.80035E+02;    0.90166E+00;    0.24834E+00;    0.20246E+02;    0.55579E+05;    0.24981E+02;    0.40695E+02;    0.89900E+00;    0.71703E-02;    0.75262E-02;   -0.60087E-03;   -0.30510E+00; normal    
    0.20094E+02;    0.24921E+00;    0.29912E+02;    0.20189E+01;    0.28455E+01;    0.17003E+02;    0.80205E+02;    0.89847E+00;    0.25039E+00;    0.19881E+02;    0.56672E+05;    0.25242E+02;    0.40821E+02;    0.89847E+00;    0.29650E-01;   -0.73959E-02;    0.23939E-03;    0.17449E+00; normal    
    0.19814E+02;    0.24918E+00;    0.29859E+02;    0.20109E+01;    0.28491E+01;    0.17111E+02;    0.79728E+02;    0.90524E+00;    0.24806E+00;    0.19901E+02;    0.55419E+05;    0.25543E+02;    0.40716E+02;    0.90607E+00;    0.17302E-01;    0.11919E-01;   -0.34197E-02;    0.25985E+00; normal    
    0.20343E+02;    0.24856E+00;    0.30384E+02;    0.19922E+01;    0.28672E+01;    0.17269E+02;    0.80275E+02;    0.90134E+00;    0.24488E+00;    0.19935E+02;    0.57029E+05;    0.25214E+02;    0.40741E+02;    0.90250E+00;   -0.10488E-01;   -0.54654E-02;   -0.50768E-02;    0.22313E+00; normal    
    0.19954E+02;    0.25112E+00;    0.30321E+02;    0.20095E+01;    0.28666E+01;    0.16979E+02;    0.79833E+02;    0.90334E+00;    0.24969E+00;    0.19921E+02;    0.56931E+05;    0.25560E+02;    0.40946E+02;    0.90618E+00;    0.14892E-01;   -0.75397E-02;   -0.18625E-02;   -0.13310E+00; normal    
    0.19985E+02;    0.25144E+00;    0.29868E+02;    0.20046E+01;    0.28635E+01;    0.17075E+02;    0.79983E+02;    0.90586E+00;    0.24622E+00;    0.19787E+02;    0.56714E+05;    0.25163E+02;    0.40671E+02;    0.90501E+00;    0.81528E-02;    0.32111E-02;   -0.35418E-02;    0.16999E-01; normal    
    0.19947E+02;    0.24906E+00;    0.29845E+02;    0.20077E+01;    0.28567E+01;    0.17030E+02;    0.80133E+02;    0.89583E+00;    0.24721E+00;    0.20018E+02;    0.56368E+05;    0.25243E+02;    0.40723E+02;    0.90356E+00;    0.12627E-01;   -0.52925E-02;   -0.29190E-02;   -0.38839E-01; normal    
    0.19854E+02;    0.25394E+00;    0.29791E+02;    0.19846E+01;    0.28175E+01;    0.17239E+02;    0.79771E+02;    0.89872E+00;    0.24913E+00;    0.19837E+02;    0.55982E+05;    0.25062E+02;    0.40721E+02;    0.89737E+00;   -0.21807E-01;    0.74677E-03;   -0.12998E-03;   -0.22532E+00; normal    
    0.19921E+02;    0.24878E+00;    0.29941E+02;    0.20015E+01;    0.28541E+01;    0.16998E+02;    0.79983E+02;    0.90088E+00;    0.25262E+00;    0.19753E+02;    0.55967E+05;    0.25117E+02;    0.40810E+02;    0.90163E+00;    0.27050E-02;    0.93728E-03;    0.30671E-02;   -0.35589E+00; normal    
    0.20016E+02;    0.25096E+00;    0.29911E+02;    0.19888E+01;    0.28456E+01;    0.17045E+02;    0.79871E+02;    0.89876E+00;    0.25059E+00;    0.20047E+02;    0.56589E+05;    0.25148E+02;    0.40568E+02;    0.89733E+00;   -0.16505E-01;   -0.44820E-03;    0.93177E-03;   -0.63087E+00; normal    
    0.19884E+02;    0.24860E+00;    0.29958E+02;    0.19903E+01;    0.28749E+01;    0.17196E+02;    0.79861E+02;    0.90321E+00;    0.25221E+00;    0.20000E+02;    0.56435E+05;    0.24716E+02;    0.40682E+02;    0.89955E+00;   -0.13859E-01;    0.25322E-02;    0.44943E-02;   -0.48269E-01; normal    
    0.19925E+02;    0.25018E+00;    0.29870E+02;    0.19887E+01;    0.28558E+01;    0.16873E+02;    0.80086E+02;    0.90592E+00;    0.24765E+00;    0.19985E+02;    0.56521E+05;    0.24941E+02;    0.40729E+02;    0.90127E+00;   -0.16944E-01;    0.34577E-02;   -0.10720E-02;   -0.11272E+01; normal    
    0.20016E+02;    0.25068E+00;    0.30091E+02;    0.20027E+01;    0.28739E+01;    0.17124E+02;    0.79971E+02;    0.90483E+00;    0.25142E+00;    0.19912E+02;    0.56221E+05;    0.25440E+02;    0.40773E+02;    0.89828E+00;    0.39396E-02;    0.37181E-02;    0.42397E-03;    0.89077E-01; normal    
    0.20273E+02;    0.25219E+00;    0.30068E+02;    0.19914E+01;    0.28199E+01;    0.17070E+02;    0.79698E+02;    0.89826E+00;    0.24920E+00;    0.19869E+02;    0.55853E+05;    0.25286E+02;    0.40651E+02;    0.89670E+00;   -0.14018E-01;    0.29488E-02;   -0.10811E-02;   -0.60242E+00; normal    
    0.20168E+02;    0.25386E+00;    0.30033E+02;    0.19831E+01;    0.28793E+01;    0.17099E+02;    0.80065E+02;    0.89264E+00;    0.25272E+00;    0.19894E+02;    0.56197E+05;    0.25258E+02;    0.40464E+02;    0.89700E+00;   -0.26072E-01;   -0.10087E-02;    0.25842E-02;   -0.58500E+00; normal    
    0.20029E+02;    0.24659E+00;    0.29937E+02;    0.20011E+01;    0.28638E+01;    0.16744E+02;    0.80096E+02;    0.90328E+00;    0.25047E+00;    0.19934E+02;    0.55840E+05;    0.25425E+02;    0.40575E+02;    0.89896E+00;    0.11650E-02;    0.98661E-02;   -0.46159E-03;   -0.11605E+01; normal    
    0.19933E+02;    0.25331E+00;    0.29983E+02;    0.19892E+01;    0.28257E+01;    0.17134E+02;    0.80055E+02;    0.89283E+00;    0.25098E+00;    0.20118E+02;    0.56825E+05;    0.25503E+02;    0.40643E+02;    0.89915E+00;   -0.17141E-01;   -0.10025E-01;   -0.26565E-03;   -0.47122E+00; normal    
    0.20017E+02;    0.24937E+00;    0.29924E+02;    0.20053E+01;    0.28523E+01;    0.17286E+02;    0.79957E+02;    0.90203E+00;    0.24886E+00;    0.20110E+02;    0.55692E+05;    0.25351E+02;    0.40749E+02;    0.90277E+00;    0.70167E-02;    0.57260E-02;   -0.17462E-02;    0.54889E+00; normal    
